,Unnamed: 0,ticker,ep,roa,sector,price,currency,roa_place,ep_place,total_place
323,549,COUP,-2.261294683413434,18.89083620727929,Technology,125.84,USD,581,1039,1620
839,1361,EXEL,3.325344468299215,5.66123158136079,Healthcare,19.25,USD,949,671,1620
309,529,ANET,2.116388717912612,11.770803948147847,Technology,127.37,USD,797,826,1623
250,423,NBIX,2.5216248758976447,10.142064164079406,Healthcare,86.33,USD,841,789,1630
415,710,VOYA,1.82442950684491,12.268386254183332,Financial Services,72.245,USD,784,851,1635
646,1061,AMP,1.8052914619045024,12.210326125237726,Financial Services,310.694,USD,785,853,1638
1113,1785,REG,2.7514188499685512,7.851432574894406,Real Estate,67.27,USD,889,759,1648
651,1071,GNL,3.058088500639801,6.150251201243456,Real Estate,14.28,USD,932,717,1649
838,1360,STNE,3.1396871029191558,5.779837500072389,Technology,12.48,USD,945,705,1650
353,608,ONTO,2.674097414488513,8.115127186051833,Technology,91.025,USD,884,769,1653
719,1169,LSI,2.4070615490587186,9.597407732536889,Real Estate,129.41,USD,857,803,1660
616,1010,EXPI,0.9280557563528932,14.211269783262589,Real Estate,28.9,USD,707,957,1664
17,31,MET,1.078401107456482,13.81521473250166,Financial Services,71.14,USD,720,945,1665
361,621,EEFT,2.348162178700297,9.626934316365798,Technology,140.955,USD,856,810,1666
1060,1701,ISRG,1.7143233933335629,11.377875220680558,Healthcare,291.14,USD,803,866,1669
129,208,NEE,1.1766512099748476,13.527078055542278,Utilities,74.8,USD,734,936,1670
189,309,CHX,2.0628311579037737,9.72227894308611,Energy,22.09,USD,853,830,1683
0,0,IDCC,2.69084202876153,6.6729420496728125,Communication Services,67.42,USD,918,765,1683
432,742,MSEX,1.575155366677512,11.845831199079935,Utilities,95.705,USD,796,890,1686
864,1401,BIO,3.2577763361408567,3.717020132005505,Healthcare,614.83,USD,998,691,1689
494,819,MPC,2.638351641357384,6.780434140975074,Energy,78.49,USD,917,772,1689
911,1459,TPIC,0.8029450408084498,13.572575682531108,Industrials,11.16,USD,729,962,1691
1065,1706,GVA,2.880159150155317,5.495584864225331,Industrials,36.22,USD,954,741,1695
214,354,PINS,2.58537163687575,6.620727025397252,Communication Services,25.57,USD,919,779,1698
1061,1702,MIME,0.9970774036534902,13.10297631196648,Technology,79.74,USD,752,951,1703
363,624,VEEV,1.566926413617421,11.13444407964344,Healthcare,226.45,USD,811,893,1704
337,575,IIPR,2.35972262588085,7.524588258576441,Real Estate,192.74,USD,896,808,1704
1120,1798,AFLT.ME,-2.3876474245220773,15.753560680513898,Industrials,60.5,RUB,664,1041,1705
526,874,COHR,1.939607021010612,8.930052923338168,Technology,264.51,USD,871,838,1709
366,627,MTX.DE,1.6927847512665597,10.344827586206897,Industrials,210.6,EUR,833,876,1709
253,426,JJSF,2.45427365629792,6.8182865634861285,Consumer Defensive,155.08,USD,915,796,1711
164,269,MRKV.ME,3.227960574563258,2.4049485515867857,Utilities,0.0461,RUB,1018,693,1711
952,1522,GLOB,1.2723650918441651,12.106568467261742,Technology,269.07,USD,786,927,1713
1100,1763,ENPH,1.1228181308368246,12.571360354738705,Technology,154.03,USD,773,941,1714
666,1094,ALE,2.234970800498525,7.441577533329954,Utilities,59.91,USD,899,817,1716
841,1365,LGND,1.7218690708322757,9.685343315007604,Healthcare,123.41,USD,854,865,1719
796,1295,EGP,1.5279305009164237,10.714172992844444,Real Estate,190.89,USD,821,898,1719
443,757,FTI,2.7600609529544715,5.265323803335499,Energy,6.895,USD,962,757,1719
899,1437,VSMO.ME,2.524251261598001,6.129269860388427,Basic Materials,49500.0,RUB,933,788,1721
80,109,TSLA,0.491222376752118,13.526570048309178,Consumer Cyclical,906.275,USD,735,990,1725
747,1222,DOCS,2.511000265974978,6.128184005811051,Healthcare,58.27,USD,934,791,1725
430,736,QNST,2.2729434182209194,6.852242502063652,Communication Services,11.45,USD,914,815,1729
151,244,ROLL,2.9448042927075906,3.323613055060393,Industrials,181.645,USD,1000,730,1730
907,1450,VC,1.7401225568316776,9.011264080100124,Consumer Cyclical,106.0,USD,869,863,1732
376,647,MRVL,-0.3713159508909261,14.413093893434562,Technology,71.23,USD,702,1031,1733
1067,1709,VZIO,1.99351679675806,7.320786220274268,Technology,13.84,USD,905,832,1737
1044,1673,VICR,1.808413079004527,8.112229423075318,Technology,104.83,USD,885,852,1737
340,581,FR,1.8269735761741643,8.034433420164593,Real Estate,57.73,USD,887,850,1737
680,1114,KALU,2.5257122721411616,5.627113765560912,Basic Materials,105.635,USD,951,787,1738
328,555,O,1.8382840634979731,7.525674582442197,Real Estate,66.98,USD,895,849,1744
102,147,MPWR,1.076550952969315,11.640498892860064,Technology,465.2,USD,798,946,1744
364,625,COLD,1.4379756480581225,10.34158290237401,Real Estate,28.19,USD,834,911,1745
789,1285,GDEV,-2.543870726387367,14.11598914063587,Communication Services,7.7725,USD,711,1042,1753
31,52,ALRM,2.095384997278786,6.268467253485041,Technology,71.94,USD,927,828,1755
727,1184,PFG,0.6903367349856747,12.30496200481193,Financial Services,75.5,USD,782,974,1756
751,1226,WHD,1.9098860204937096,6.816532359710492,Energy,50.2,USD,916,845,1761
276,461,PGNY,1.0750369944854403,10.945358970812007,Healthcare,40.47,USD,816,947,1763
511,844,CNTLP.ME,2.933360810281332,1.522643162072802,Communication Services,8.18,RUB,1034,733,1767
1070,1712,NFE,0.7198004833864068,11.463447328295436,Utilities,23.92,USD,802,972,1774
967,1545,ESS,1.6302714073370688,7.61944701329534,Real Estate,319.53,USD,894,882,1776
273,458,MAA,1.526319742381976,8.134703687562178,Real Estate,207.13,USD,883,899,1782
973,1556,SPSC,1.1565001188505837,10.03369743134784,Technology,130.16,USD,844,939,1783
81,110,HE,2.18647801741698,5.046021091229479,Utilities,40.0,USD,966,822,1788
22,38,TTD,0.7435366155682873,10.733074734590524,Technology,76.599,USD,820,970,1790
589,959,NEOG,1.7905702371370829,6.043297551725888,Healthcare,35.93,USD,936,854,1790
819,1331,STAG,1.7381241317653773,6.238190680554911,Real Estate,39.8572,USD,930,864,1794
306,521,KRC,2.122723467356201,4.678107746150216,Real Estate,70.81,USD,971,825,1796
209,347,PRLB,1.7680844248113836,5.994462622703247,Industrials,58.93,USD,939,858,1797
566,914,RPD,-1.3941395986028735,12.799496814737092,Technology,95.49,USD,762,1035,1797
220,364,HTA,1.7466463358228943,6.0179597153376125,Real Estate,30.72,USD,938,862,1800
52,83,VNO,2.1292959260479827,4.506082196604064,Real Estate,44.15,USD,977,824,1801
944,1510,OII,2.20856778231207,4.390786699055626,Energy,14.87,USD,981,820,1801
324,551,ATNI,1.886062663033048,5.370222057172003,Communication Services,34.76,USD,959,847,1806
